COMPANYID,PESEQUENCENO,CASENO,PROJECTNO,PARENTBLOCKNO,CHILDBLOCKNO,CHILDBLOCKTYPE,PEORDER,PELAG,PEDATE,EQUIPMENTCODE,EQUIPMENTDATE,EQUIPMENTTIME,NUMOFEQUIPMENT,ACTUALPEDATE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER
D,95909788,2020-36-04,5466,20N,284,B,4,6,2020-01-29,GCNO1C00,Day조60,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909789,2020-36-04,5466,20M,293,B,3,2,2020-02-01,GCNO1C00,Day조60,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909790,2020-36-04,5466,20N,294,B,3,6,2020-01-29,GCNO1C00,Day조60,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909791,2020-36-04,5466,22A,421,B,4,9,2019-12-16,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909792,2020-36-04,5466,421,421,N,1,0,2019-11-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909793,2020-36-04,5466,62C,423,B,4,7,2019-12-21,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909794,2020-36-04,5466,62D,424,B,3,2,2019-12-25,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909795,2020-36-04,5466,62F,426,B,3,4,2019-12-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909796,2020-36-04,5466,62G,427,B,3,4,2020-01-14,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909797,2020-36-04,5466,62H,428,B,3,2,2020-01-18,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909798,2020-36-04,5466,23A,431,B,4,9,2019-12-16,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909799,2020-36-04,5466,431,431,N,1,0,2019-12-02,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909800,2020-36-04,5466,63C,433,B,4,7,2019-12-21,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909801,2020-36-04,5466,63D,434,B,3,2,2019-12-25,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909802,2020-36-04,5466,63F,436,B,3,4,2019-12-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909803,2020-36-04,5466,63G,437,B,3,5,2020-01-15,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909804,2020-36-04,5466,63H,438,B,3,2,2020-01-18,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909805,2020-36-04,5466,20K,441,B,7,9,2020-01-30,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909806,2020-36-04,5466,20L,442,B,7,6,2020-02-04,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909807,2020-36-04,5466,20M,443,B,7,7,2020-02-05,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909808,2020-36-04,5466,20K,451,B,6,9,2020-01-30,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909809,2020-36-04,5466,20L,452,B,6,6,2020-02-04,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909810,2020-36-04,5466,20M,453,B,8,7,2020-02-05,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909811,2020-36-04,5466,20J,50J,S,8,16,2020-02-05,GCNO4C00,Day,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909812,2020-36-04,5466,20K,50K,S,10,15,2020-02-05,GCNO4C00,Day,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909813,2020-36-04,5466,20L,50L,S,10,13,2020-02-11,GCNO1C00,Day,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909814,2020-36-04,5466,20M,50M,S,11,14,2020-02-12,GCNO1C00,Day,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909815,2020-36-04,5466,20N,50N,S,9,19,2020-02-10,GCNO1C00,Day,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909816,2020-36-04,5466,50A,521,B,1,0,2020-01-16,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909817,2020-36-04,5466,50B,522,B,1,0,2020-01-20,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909818,2020-36-04,5466,50C,523,B,1,0,2019-12-26,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909819,2020-36-04,5466,50D,524,B,1,0,2020-01-10,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909820,2020-36-04,5466,50E,525,B,1,0,2020-01-17,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909824,2020-36-04,5466,50J,529,B,1,0,2020-01-15,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909821,2020-36-04,5466,50F,526,B,1,0,2020-01-19,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909822,2020-36-04,5466,50G,527,B,1,0,2020-01-21,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909823,2020-36-04,5466,50H,528,B,1,0,2020-01-29,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909825,2020-36-04,5466,50A,531,B,2,0,2020-01-16,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909826,2020-36-04,5466,50B,532,B,2,0,2020-01-20,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909827,2020-36-04,5466,50C,533,B,2,0,2019-12-26,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909828,2020-36-04,5466,50D,534,B,2,0,2020-01-10,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909829,2020-36-04,5466,50E,535,B,2,0,2020-01-17,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909830,2020-36-04,5466,50F,536,B,2,0,2020-01-19,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909831,2020-36-04,5466,50G,537,B,2,0,2020-01-21,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909832,2020-36-04,5466,50H,538,B,2,0,2020-01-29,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909833,2020-36-04,5466,50J,539,B,2,0,2020-01-15,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909834,2020-36-04,5466,50K,541,B,1,0,2020-01-15,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909835,2020-36-04,5466,50L,542,B,1,0,2020-01-21,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909836,2020-36-04,5466,50M,543,B,1,0,2020-01-22,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909837,2020-36-04,5466,50N,544,B,1,0,2020-01-22,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909838,2020-36-04,5466,50K,551,B,2,0,2020-01-15,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909839,2020-36-04,5466,50L,552,B,2,0,2020-01-21,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909840,2020-36-04,5466,50M,553,B,2,0,2020-01-22,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909841,2020-36-04,5466,50N,554,B,2,0,2020-01-22,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909842,2020-36-04,5466,50G,561,B,3,3,2020-01-23,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909843,2020-36-04,5466,50G,571,B,4,3,2020-01-23,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909844,2020-36-04,5466,62A,621,B,1,0,2019-12-24,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909845,2020-36-04,5466,62C,623,B,3,7,2019-12-21,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909846,2020-36-04,5466,62D,624,B,2,2,2019-12-25,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909847,2020-36-04,5466,62E,625,B,2,6,2019-12-24,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909848,2020-36-04,5466,62F,626,B,2,4,2019-12-30,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909849,2020-36-04,5466,62G,627,B,2,3,2020-01-13,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909850,2020-36-04,5466,62H,628,B,2,1,2020-01-17,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909851,2020-36-04,5466,20J,629,B,7,12,2020-02-01,GCNO4C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909852,2020-36-04,5466,63A,631,B,1,0,2019-12-24,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909853,2020-36-04,5466,63C,633,B,3,7,2019-12-21,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909854,2020-36-04,5466,63D,634,B,2,2,2019-12-25,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909855,2020-36-04,5466,63E,635,B,2,5,2019-12-24,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909856,2020-36-04,5466,63F,636,B,2,4,2019-12-30,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909857,2020-36-04,5466,63G,637,B,2,4,2020-01-14,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909858,2020-36-04,5466,63H,638,B,2,1,2020-01-17,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909859,2020-36-04,5466,20J,639,B,6,12,2020-02-01,GCNO4C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909860,2020-36-04,5466,20K,641,B,9,12,2020-02-03,GCNO4C00,Day,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909861,2020-36-04,5466,20L,642,B,9,9,2020-02-07,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909862,2020-36-04,5466,20M,643,B,9,12,2020-02-10,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909863,2020-36-04,5466,20N,644,B,8,14,2020-02-06,GCNO1C00,Day,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909864,2020-36-04,5466,20K,651,B,8,12,2020-02-03,GCNO4C00,Day,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909865,2020-36-04,5466,20L,652,B,8,9,2020-02-07,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909866,2020-36-04,5466,20M,653,B,10,12,2020-02-10,GCNO1C00,Day,90,,,2020-04-20,1007589,2020-04-23,1008003
D,95909867,2020-36-04,5466,20N,654,B,7,14,2020-02-06,GCNO1C00,Day,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909868,2020-36-04,5466,62A,661,B,2,2,2019-12-26,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909869,2020-36-04,5466,63A,671,B,2,3,2019-12-27,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909870,2020-36-04,5466,22A,721,B,3,4,2019-12-11,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909871,2020-36-04,5466,22B,722,B,2,3,2019-12-12,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909872,2020-36-04,5466,20J,729,B,2,1,2020-01-22,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909873,2020-36-04,5466,23A,731,B,3,4,2019-12-11,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909874,2020-36-04,5466,23B,732,B,2,3,2019-12-12,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
