COMPANYID,RELATIONNO,CASENO,PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,RELATIONTYPE,LAG,LOCATIONCODE,LOCATIONTYPE
D,1114171271,2020-36-04,5466,S754A000,C754CC00,SS,-7,754,B
D,1114171272,2020-36-04,5466,C754CC00,C754CP00,SS,-1,754,B
D,1114171273,2020-36-04,5466,S801A000,C801CC00,SS,-7,801,B
D,1114171274,2020-36-04,5466,C801CC00,C801CP00,SS,-1,801,B
D,1114171275,2020-36-04,5466,S802A000,C802CC00,SS,-7,802,B
D,1114171276,2020-36-04,5466,C802CC00,C802CP00,SS,-1,802,B
D,1114171277,2020-36-04,5466,S803A000,C803CC00,SS,-7,803,B
D,1114171278,2020-36-04,5466,C803CC00,C803CP00,SS,-1,803,B
D,1114171279,2020-36-04,5466,S804A000,C804CC00,SS,-7,804,B
D,1114171280,2020-36-04,5466,C804CC00,C804CP00,SS,-1,804,B
D,1114171281,2020-36-04,5466,S805A000,C805CC00,SS,-7,805,B
D,1114171282,2020-36-04,5466,C805CC00,C805CP00,SS,-1,805,B
D,1114171283,2020-36-04,5466,S811A000,C811CC00,SS,-7,811,B
D,1114171284,2020-36-04,5466,C811CC00,C811CP00,SS,-1,811,B
D,1114171285,2020-36-04,5466,S812A000,C812CC00,SS,-7,812,B
D,1114171286,2020-36-04,5466,C812CC00,C812CP00,SS,-1,812,B
D,1114171287,2020-36-04,5466,S822A000,C822CC00,SS,-7,822,B
D,1114171288,2020-36-04,5466,C822CC00,C822CP00,SS,-1,822,B
D,1114171289,2020-36-04,5466,S823A000,C823CC00,SS,-7,823,B
D,1114171290,2020-36-04,5466,C823CC00,C823CP00,SS,-1,823,B
D,1114171291,2020-36-04,5466,S824A000,C824CC00,SS,-7,824,B
D,1114171292,2020-36-04,5466,C824CC00,C824CP00,SS,-1,824,B
D,1114171293,2020-36-04,5466,S825A000,C825CC00,SS,-7,825,B
D,1114171294,2020-36-04,5466,C825CC00,C825CP00,SS,-1,825,B
D,1114171295,2020-36-04,5466,S826A000,C826CC00,SS,-7,826,B
D,1114171296,2020-36-04,5466,C826CC00,C826CP00,SS,-1,826,B
D,1114171297,2020-36-04,5466,S832A000,C832CC00,SS,-7,832,B
D,1114171298,2020-36-04,5466,C832CC00,C832CP00,SS,-1,832,B
D,1114171299,2020-36-04,5466,S833A000,C833CC00,SS,-9,833,B
D,1114171300,2020-36-04,5466,C833CC00,C833CP00,SS,-1,833,B
D,1114171301,2020-36-04,5466,S834A000,C834CC00,SS,-14,834,B
D,1114171302,2020-36-04,5466,C834CC00,C834CP00,SS,-1,834,B
D,1114171303,2020-36-04,5466,S835A000,C835CC00,SS,-8,835,B
D,1114171304,2020-36-04,5466,C835CC00,C835CP00,SS,-1,835,B
D,1114171305,2020-36-04,5466,S836A000,C836CC00,SS,-7,836,B
D,1114171306,2020-36-04,5466,C836CC00,C836CP00,SS,-1,836,B
D,1114171307,2020-36-04,5466,S8X1A000,C8X1CC00,SS,-7,8X1,B
D,1114171308,2020-36-04,5466,C8X1CC00,C8X1CP00,SS,-1,8X1,B
D,1114171309,2020-36-04,5466,S904A000,C904CC00,SS,-7,904,B
D,1114171310,2020-36-04,5466,C904CC00,C904CP00,SS,-1,904,B
D,1114171311,2020-36-04,5466,S905A000,C905CC00,SS,-7,905,B
D,1114171312,2020-36-04,5466,C905CC00,C905CP00,SS,-1,905,B
D,1114171313,2020-36-04,5466,S906A000,C906CC00,SS,-7,906,B
D,1114171314,2020-36-04,5466,C906CC00,C906CP00,SS,-1,906,B
D,1114171315,2020-36-04,5466,S910A000,C910CC00,SS,-7,910,B
D,1114171316,2020-36-04,5466,C910CC00,C910CP00,SS,-1,910,B
D,1114171317,2020-36-04,5466,S913A000,C913CC00,SS,-7,913,B
D,1114171318,2020-36-04,5466,C913CC00,C913CP00,SS,-1,913,B
D,1114171319,2020-36-04,5466,S914A000,C914CC00,SS,-7,914,B
D,1114171320,2020-36-04,5466,C914CC00,C914CP00,SS,-1,914,B
D,1114171321,2020-36-04,5466,S921A000,C921CC00,SS,-7,921,B
D,1114171322,2020-36-04,5466,C921CC00,C921CP00,SS,-1,921,B
D,1114171323,2020-36-04,5466,S922A000,C922CC00,SS,-7,922,B
D,1114171324,2020-36-04,5466,C922CC00,C922CP00,SS,-1,922,B
D,1114171325,2020-36-04,5466,S923A000,C923CC00,SS,-7,923,B
D,1114171326,2020-36-04,5466,C923CC00,C923CP00,SS,-1,923,B
D,1114171327,2020-36-04,5466,S931A000,C931CC00,SS,-7,931,B
D,1114171328,2020-36-04,5466,C931CC00,C931CP00,SS,-1,931,B
D,1114171329,2020-36-04,5466,S932A000,C932CC00,SS,-7,932,B
D,1114171330,2020-36-04,5466,C932CC00,C932CP00,SS,-1,932,B
D,1114171331,2020-36-04,5466,S933A000,C933CC00,SS,-7,933,B
D,1114171332,2020-36-04,5466,C933CC00,C933CP00,SS,-1,933,B
D,1114171333,2020-36-04,5466,S941A000,C941CC00,SS,-7,941,B
D,1114171334,2020-36-04,5466,C941CC00,C941CP00,SS,-1,941,B
D,1114171335,2020-36-04,5466,S942A000,C942CC00,SS,-7,942,B
D,1114171336,2020-36-04,5466,C942CC00,C942CP00,SS,-1,942,B
D,1114171337,2020-36-04,5466,S951A000,C951CC00,SS,-7,951,B
D,1114171338,2020-36-04,5466,C951CC00,C951CP00,SS,-1,951,B
D,1114171339,2020-36-04,5466,S952A000,C952CC00,SS,-7,952,B
D,1114171340,2020-36-04,5466,C952CC00,C952CP00,SS,-1,952,B
D,1114171341,2020-36-04,5466,S981A000,C981CC00,SS,-7,981,B
D,1114171342,2020-36-04,5466,C981CC00,C981CP00,SS,-1,981,B
D,1114171343,2020-36-04,5466,S991A000,C991CC00,SS,-7,991,B
D,1114171344,2020-36-04,5466,C991CC00,C991CP00,SS,-1,991,B
D,1114171345,2020-36-04,5466,S998A000,C998CC00,SS,-7,998,B
D,1114171346,2020-36-04,5466,C998CC00,C998CP00,SS,-1,998,B
D,1114171347,2020-36-04,5466,S9X1A000,C9X1CC00,SS,-7,9X1,B
D,1114171348,2020-36-04,5466,C9X1CC00,C9X1CP00,SS,-1,9X1,B
D,1114171646,2020-36-04,5466,Z101ZBI0,P101BC00,FS,5,101,B
D,1114171647,2020-36-04,5466,P101BC00,P101BP00,FS,1,101,B
D,1114171648,2020-36-04,5466,Z102ZBI0,P102BC00,FS,4,102,B
D,1114171649,2020-36-04,5466,P102BC00,P102BP00,FS,1,102,B
D,1114171650,2020-36-04,5466,Z104ZBI0,P104BC00,FS,2,104,B
D,1114171651,2020-36-04,5466,P104BC00,P104BP00,FS,1,104,B
D,1114171652,2020-36-04,5466,Z105ZBI0,P105BC00,FS,4,105,B
D,1114171653,2020-36-04,5466,P105BC00,P105BP00,FS,1,105,B
D,1114171654,2020-36-04,5466,Z106ZBI0,P106BC00,FS,1,106,B
D,1114171655,2020-36-04,5466,P106BC00,P106BP00,FS,1,106,B
D,1114171656,2020-36-04,5466,Z107ZBI0,P107BC00,FS,5,107,B
D,1114171657,2020-36-04,5466,P107BC00,P107BP00,FS,1,107,B
D,1114171658,2020-36-04,5466,Z108ZBI0,P108BC00,FS,7,108,B
D,1114171659,2020-36-04,5466,P108BC00,P108BP00,FS,1,108,B
D,1114171660,2020-36-04,5466,Z109ZBI0,P109BC00,FS,7,109,B
D,1114171661,2020-36-04,5466,P109BC00,P109BP00,FS,1,109,B
D,1114171666,2020-36-04,5466,Z110ZBI0,P110BC00,FS,3,110,B
D,1114171667,2020-36-04,5466,P110BC00,P110BP00,FS,1,110,B
D,1114171668,2020-36-04,5466,Z111ZBI0,P111BC00,FS,1,111,B
D,1114171669,2020-36-04,5466,P111BC00,P111BP00,FS,1,111,B
D,1114171670,2020-36-04,5466,Z113ZBI0,P113BC00,FS,1,113,B
D,1114171671,2020-36-04,5466,P113BC00,P113BP00,FS,1,113,B
D,1114171676,2020-36-04,5466,Z122ZBI0,P122BC00,FS,1,122,B
D,1114171677,2020-36-04,5466,P122BC00,P122BP00,FS,1,122,B
D,1114171678,2020-36-04,5466,Z123ZBI0,P123BC00,FS,1,123,B
D,1114171679,2020-36-04,5466,P123BC00,P123BP00,FS,1,123,B
D,1114171680,2020-36-04,5466,Z124ZBI0,P124BC00,FS,1,124,B
D,1114171681,2020-36-04,5466,P124BC00,P124BP00,FS,1,124,B
D,1114171682,2020-36-04,5466,Z125ZBI0,P125BC00,FS,1,125,B
D,1114171683,2020-36-04,5466,P125BC00,P125BP00,FS,1,125,B
D,1114171686,2020-36-04,5466,Z132ZBI0,P132BC00,FS,1,132,B
D,1114171687,2020-36-04,5466,P132BC00,P132BP00,FS,1,132,B
D,1114171688,2020-36-04,5466,Z133ZBI0,P133BC00,FS,1,133,B
D,1114171689,2020-36-04,5466,P133BC00,P133BP00,FS,1,133,B
D,1114171690,2020-36-04,5466,Z134ZBI0,P134BC00,FS,1,134,B
D,1114171691,2020-36-04,5466,P134BC00,P134BP00,FS,1,134,B
D,1114171692,2020-36-04,5466,Z135ZBI0,P135BC00,FS,1,135,B
D,1114171693,2020-36-04,5466,P135BC00,P135BP00,FS,1,135,B
D,1114171696,2020-36-04,5466,Z142ZBI0,P142BC00,FS,1,142,B
D,1114171697,2020-36-04,5466,P142BC00,P142BP00,FS,1,142,B
D,1114171698,2020-36-04,5466,Z143ZBI0,P143BC00,FS,1,143,B
