COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,LAG,MH1,VOL1,VOL2,RELATIONTYPE,PREVSTAGECODE,PREVFLAGCODE,PREVPROCESSCODE,PREVPROCESSSERNO,RELATIONNO
D,2020-36-04,5466,W541GC00,541,B,C,W,G,C00,PBS,WBHD,2204,2019-11-14,2019-11-20,5,4,14,0,0,SS,B,S,A,000,1114172419
D,2020-36-04,5466,W106GC00,106,B,C,W,G,C00,OFD,WBER,3103,2019-10-25,2019-11-08,11,4,23,0,0,SS,B,S,A,000,1114172136
D,2020-36-04,5466,W106GS00,106,B,S,W,G,S00,OFD,WBER,3103,2019-10-21,2019-10-25,5,0,56.4,0,0,SS,B,S,A,000,1114172138
D,2020-36-04,5466,W105GC00,105,B,C,W,G,C00,NPS,WBER,3103,2019-11-28,2019-12-13,12,4,37,0,0,SS,B,S,A,000,1114172132
D,2020-36-04,5466,P254BC00,254,B,B,P,B,C00,NO1,PBBT,6200,2020-01-13,2020-01-13,1,9,75.5,2339.5,2182.9,FS,A,W,G,A00,1114171801
D,2020-36-04,5466,C229CP00,229,B,J,C,C,P00,CTS,CPBK,2100,2019-11-14,2019-12-11,20,-1,11.4,0,0,SS,J,C,C,C00,1114171018
D,2020-36-04,5466,W805GA00,805,B,A,W,G,A00,K-D,WBHD,3122,2020-01-07,2020-01-10,4,-1,17.4,0,0,FS,B,S,A,000,1114172552
D,2020-36-04,5466,W836GS00,836,B,S,W,G,S00,GBS,WBHD,2204,2019-12-09,2019-12-13,5,0,114.8,0,0,SS,B,S,A,000,1114172582
D,2020-36-04,5466,W801GC00,801,B,C,W,G,C00,GBS,WBHD,2204,2019-12-03,2019-12-31,20,4,1.1,0,0,SS,B,S,A,000,1114172547
D,2020-36-04,5466,S661A000,661,B,B,S,A,000,OFD,SBBK,####,2019-11-01,2019-11-28,20,,870.2,2157.3,0,,,,,,
D,2020-36-04,5466,C426CP00,426,B,J,C,C,P00,CTS,CPBK,2100,2019-11-27,2019-12-06,8,-1,3.5,0,0,SS,J,C,C,C00,1114171080
D,2020-36-04,5466,C727CC00,727,B,J,C,C,C00,CTS,CCBK,2100,2019-12-11,2019-12-31,14,-7,90.5,167.2,0,SS,B,S,A,000,1114171233
D,2020-36-04,5466,U183GB00,183,B,B,U,G,B00,OOS,WBER,3103,2019-11-11,2019-11-20,8,-7,5.4,0,0,SS,B,W,G,B00,1114172119
D,2020-36-04,5466,W626GC00,626,B,C,W,G,C00,PBS,WBHD,2204,2019-11-11,2019-11-19,7,4,40.7,0,0,SS,B,S,A,000,1114172449
D,2020-36-04,5466,S754A000,754,B,B,S,A,000,NPS,SBBK,####,2019-12-27,2020-01-21,16,,535.4,1922.8,0,,,,,,
D,2020-36-04,5466,W211GC00,211,B,C,W,G,C00,PBS,WBHD,2204,2019-12-05,2019-12-12,6,4,38.3,0,0,SS,B,S,A,000,1114172266
D,2020-36-04,5466,C443CP00,443,B,J,C,C,P00,CTS,CPBK,2100,2019-12-31,2020-01-13,8,-1,0.9,0,0,SS,J,C,C,C00,1114171102
D,2020-36-04,5466,C443CC00,443,B,J,C,C,C00,CTS,CCBK,2100,2020-01-03,2020-01-14,8,-7,31.5,25.1,0,SS,B,S,A,000,1114171101
D,2020-36-04,5466,W443GA00,443,B,A,W,G,A00,BOS,WBHD,2204,2020-01-23,2020-01-30,3,-1,8.3,0,0,FS,B,S,A,000,1114172365
D,2020-36-04,5466,P284BC00,284,B,B,P,B,C00,NO1,PBBT,6200,2020-01-08,2020-01-08,1,4,85.7,2383,2230.5,FS,B,Z,Z,BI0,1114171824
D,2020-36-04,5466,P193BC00,193,B,B,P,B,C00,NTA,PBBT,6200,2019-12-13,2019-12-13,1,3,84.7,1569.6,2052.6,FS,B,Z,Z,BI0,1114171722
D,2020-36-04,5466,P254BP00,254,B,B,P,B,P00,NO1,PBPT,6200,2020-01-14,2020-01-22,7,1,92.8,4590.7,4784.8,FS,B,P,B,C00,1114171802
D,2020-36-04,5466,C805CC00,805,B,J,C,C,C00,CTS,CCBK,2100,2019-12-05,2019-12-24,14,-7,94.3,82.2,0,SS,B,S,A,000,1114171281
D,2020-36-04,5466,C639CP00,639,B,J,C,C,P00,CTS,CPBK,2100,2019-11-19,2019-12-06,14,-1,0,0,0,SS,J,C,C,C00,1114171200
D,2020-36-04,5466,C824CP00,824,B,J,C,C,P00,CTS,CPBK,2100,2019-11-26,2019-12-17,16,-1,5.9,0,0,SS,J,C,C,C00,1114171292
D,2020-36-04,5466,W531GA00,531,B,A,W,G,A00,BOS,WBHD,2204,2019-12-05,2019-12-31,18,-4,89.6,0,0,FS,B,S,A,000,1114172400
D,2020-36-04,5466,W824GC00,824,B,C,W,G,C00,NPS,WBHD,2204,2019-12-12,2019-12-24,9,4,40,0,0,SS,B,S,A,000,1114172565
D,2020-36-04,5466,W284GA00,284,B,A,W,G,A00,OOS,WBHD,3103,2019-12-18,2019-12-27,7,1,9.1,0,0,FS,B,S,A,000,1114172343
D,2020-36-04,5466,Z524ZBI0,524,B,B,Z,Z,BI0,NO1,ESCF,2901,2019-12-10,2019-12-10,1,6,6.4,31.9,0,FS,A,W,G,A00,1114172789
D,2020-36-04,5466,P233BC00,233,B,B,P,B,C00,NO1,PBBT,6200,2019-11-28,2019-11-28,1,6,52.2,1610.7,1504.8,FS,A,W,G,A00,1114171771
D,2020-36-04,5466,C271CC00,271,B,J,C,C,C00,CTS,CCBK,2100,2019-10-04,2019-10-29,18,-9,16.5,232.9,0,SS,B,S,A,000,1114171059
D,2020-36-04,5466,C212CC00,212,B,J,C,C,C00,CTS,CCBK,2100,2019-11-19,2019-12-06,14,-7,111.1,344.3,0,SS,B,S,A,000,1114170999
D,2020-36-04,5466,C734CC00,734,B,J,C,C,C00,CTS,CCBK,2100,2019-11-29,2019-12-18,14,-7,1.8,146.4,0,SS,B,S,A,000,1114171245
D,2020-36-04,5466,C636CC00,636,B,J,C,C,C00,CTS,CCBK,2100,2019-10-25,2019-11-13,14,-7,4.6,297.7,0,SS,B,S,A,000,1114171193
D,2020-36-04,5466,C153CP00,153,B,J,C,C,P00,CTS,CPBK,2100,2019-10-02,2019-11-05,24,-1,0,0,0,SS,J,C,C,C00,1114170966
D,2020-36-04,5466,P671BC00,671,B,B,P,B,C00,NO1,PBBT,6200,2019-12-05,2019-12-05,1,1,79.5,2452.1,2290.3,FS,B,Z,Z,BI0,1114172001
D,2020-36-04,5466,P629BP00,629,B,B,P,B,P00,NTA,PBPT,6200,2020-01-14,2020-01-22,7,1,1.3,6558.9,6910.6,FS,B,P,B,C00,1114171931
D,2020-36-04,5466,C741CP00,741,B,J,C,C,P00,CTS,CPBK,2100,2019-12-03,2019-12-20,14,-1,7.8,0,0,SS,J,C,C,C00,1114171258
D,2020-36-04,5466,Z539ZBR0,539,B,B,Z,Z,BR0,NTA,ESCF,2901,2020-01-15,2020-01-15,1,1,3.5,40.3,0,FS,B,P,B,P00,1114172818
D,2020-36-04,5466,P904BC00,904,B,B,P,B,C00,SHD,PBBD,9999,2019-09-30,2019-09-30,1,1,29.2,1173.1,352.6,FS,B,W,G,B00,1114172048
D,2020-36-04,5466,W629GA00,629,B,A,W,G,A00,BOS,WBHD,2204,2019-12-13,2020-01-06,14,-4,16.5,0,0,FS,B,S,A,000,1114172454
D,2020-36-04,5466,W102GS00,102,B,S,W,G,S00,3DS,WBER,3103,2019-08-14,2019-08-21,5,0,0,0,0,SS,B,S,A,000,1114172127
D,2020-36-04,5466,Z111ZBR0,111,B,B,Z,Z,BR0,SHM,ESCF,9999,2019-12-24,2019-12-24,1,1,1.8,17.6,0,FS,B,P,B,P00,1114172632
D,2020-36-04,5466,W8X1GA00,8X1,B,A,W,G,A00,S-W,WBHD,3122,2019-12-09,2020-01-08,20,-19,0,0,0,FS,B,S,A,000,1114172583
D,2020-36-04,5466,W642GA00,642,B,A,W,G,A00,GOS,WBHD,2204,2019-12-19,2020-01-10,14,-4,36.6,0,0,FS,B,S,A,000,1114172490
D,2020-36-04,5466,W622GA00,622,B,A,W,G,A00,OOS,WBHD,3103,2019-12-10,2019-12-11,2,1,16.5,0,0,FS,B,S,A,000,1114172440
D,2020-36-04,5466,S801A000,801,B,B,S,A,000,GBS,SBBK,####,2019-11-27,2020-01-08,28,,1653.7,2266,0,,,,,,
D,2020-36-04,5466,W154GC00,154,B,C,W,G,C00,OFD,WBER,4600,2019-10-23,2019-11-14,17,4,83.9,0,0,SS,B,S,A,000,1114172223
D,2020-36-04,5466,S131A000,131,B,B,S,A,000,3DS,SBBK,####,2019-08-12,2019-09-26,31,,1560,2279.8,0,,,,,,
D,2020-36-04,5466,Z182ZBI0,182,B,B,Z,Z,BI0,NTA,ESCF,2901,2019-11-27,2019-11-27,1,1,20.4,101.9,0,FS,B,W,G,B00,1114172685
D,2020-36-04,5466,W252GA00,252,B,A,W,G,A00,BOS,WBHD,2204,2019-12-16,2019-12-30,10,-4,41.3,0,0,FS,B,S,A,000,1114172323
D,2020-36-04,5466,S421A000,421,B,B,S,A,000,NPS,SBBK,####,2019-11-06,2019-11-18,9,,160.6,575.5,0,,,,,,
D,2020-36-04,5466,W106GB00,106,B,B,W,G,B00,OOS,WBER,3103,2019-11-22,2019-11-29,6,6,199.7,0,0,FS,B,S,A,000,1114172135
D,2020-36-04,5466,C192CP00,192,B,J,C,C,P00,CTS,CPBK,2100,2019-10-04,2019-11-07,25,-1,0,0,0,SS,J,C,C,C00,1114170980
D,2020-36-04,5466,C933CP00,933,B,J,C,C,P00,CTS,CPBK,2100,2019-07-24,2019-08-27,14,-1,0,0,0,SS,J,C,C,C00,1114171332
D,2020-36-04,5466,C554CP00,554,B,J,C,C,P00,CTS,CPBK,2100,2019-11-13,2019-11-29,13,-1,0,0,0,SS,J,C,C,C00,1114171160
D,2020-36-04,5466,W626GA00,626,B,A,W,G,A00,BOS,WBHD,2204,2019-11-22,2019-11-27,4,-1,9.4,0,0,FS,B,S,A,000,1114172448
D,2020-36-04,5466,C906CP00,906,B,J,C,C,P00,CTS,CPBK,2100,2019-08-26,2019-09-16,14,-1,2.4,0,0,SS,J,C,C,C00,1114171314
D,2020-36-04,5466,C802CP00,802,B,J,C,C,P00,CTS,CPBK,2100,2019-12-05,2019-12-24,14,-1,1.6,0,0,SS,J,C,C,C00,1114171276
D,2020-36-04,5466,Z834ZBR0,834,B,B,Z,Z,BR0,NO1,ESCF,2901,2020-02-07,2020-02-07,1,1,11.7,137.2,0,FS,B,P,B,P00,1114172951
D,2020-36-04,5466,Z832ZBR0,832,B,B,Z,Z,BR0,NO1,ESCF,2901,2020-02-05,2020-02-05,1,1,9.3,109.6,0,FS,B,P,B,P00,1114172947
D,2020-36-04,5466,W741GA00,741,B,A,W,G,A00,BOS,WBHD,2204,2019-12-30,2020-01-15,11,-4,28.8,0,0,FS,B,S,A,000,1114172534
D,2020-36-04,5466,W910GB00,910,B,B,W,G,B00,SHD,WBAD,9999,2019-08-23,2019-10-15,35,-34,389.4,301,0,FS,B,S,A,000,1114172588
D,2020-36-04,5466,S823A000,823,B,B,S,A,000,NPS,SBBK,####,2019-12-10,2020-01-09,20,,801.1,1929.5,0,,,,,,
