COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,LAG,MH1,VOL1,VOL2,RELATIONTYPE,PREVSTAGECODE,PREVFLAGCODE,PREVPROCESSCODE,PREVPROCESSSERNO,RELATIONNO
D,2020-36-04,5466,A50EO000,50E,P,P,A,O,000,NO1,####,####,2020-01-17,2020-02-03,9,0,0,0,0,SS,P,E,P,000,1114318203
D,2020-36-04,5466,E50EPG00,50E,P,P,E,P,G00,NO1,EHPF,4100,2020-01-21,2020-01-23,3,2,35.2,35.5,0,SS,P,E,P,000,1114318204
D,2020-36-04,5466,P12DPP00,12D,P,P,P,P,P00,NO1,PH00,6302,2020-01-16,2020-01-21,4,1,111.9,0,0,FS,P,W,O,P00,1114318205
D,2020-36-04,5466,T12DO000,12D,P,P,T,O,000,NO1,####,####,2019-12-30,2020-01-30,19,,0,0,0,,,,,,
D,2020-36-04,5466,P50EPP00,50E,P,P,P,P,P00,NO1,PH00,6302,2020-01-29,2020-02-03,4,1,113.1,0,0,FS,P,W,O,P00,1114318207
D,2020-36-04,5466,E50FPS00,50F,P,P,E,P,S00,NO1,EHPS,4100,2020-01-20,2020-01-29,5,0,30.5,,0,SS,P,E,P,000,1114318208
D,2020-36-04,5466,E50MPG00,50M,P,P,E,P,G00,NO1,EHPF,4100,2020-01-29,2020-02-04,5,2,32.3,35.1,0,SS,P,E,P,000,1114318209
D,2020-36-04,5466,E90APG00,90A,P,P,E,P,G00,SHD,EDPE,9020,2019-09-25,2019-11-15,37,2,1527.3,1297.1,0,SS,P,E,P,000,1114318210
D,2020-36-04,5466,P50FPP00,50F,P,P,P,P,P00,NO1,PH00,6302,2020-01-30,2020-02-04,4,1,121.1,0,0,FS,P,W,O,P00,1114318211
D,2020-36-04,5466,E50NPS00,50N,P,P,E,P,S00,NO1,EHPS,4100,2020-01-22,2020-01-31,5,0,21.5,,0,SS,P,E,P,000,1114318212
D,2020-36-04,5466,E50EP000,50E,P,P,E,P,000,NO1,EHPT,4100,2020-01-17,2020-01-23,5,0,76.2,35.5,0,SS,P,T,O,000,1114318213
D,2020-36-04,5466,E12DPS00,12D,P,P,E,P,S00,NO1,EHPS,4100,2019-12-30,2020-01-08,6,0,32.8,,0,SS,P,E,P,000,1114318214
D,2020-36-04,5466,W50DOP00,50D,P,P,W,O,P00,NO1,####,####,2020-01-10,2020-01-21,8,0,0,0,0,SS,P,E,P,000,1114318215
D,2020-36-04,5466,P50JPP00,50J,P,P,P,P,P00,NPE,PH00,6302,2020-01-30,2020-02-04,4,2,83.4,0,0,FS,P,W,O,P00,1114318216
D,2020-36-04,5466,T50JO000,50J,P,P,T,O,000,NPE,####,####,2020-01-15,2020-02-05,13,,0,0,0,,,,,,
D,2020-36-04,5466,W50JOP00,50J,P,P,W,O,P00,NPE,####,####,2020-01-15,2020-01-23,7,0,0,0,0,SS,P,E,P,000,1114318218
