COMPANYID,RELATIONNO,CASENO,PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,RELATIONTYPE,PITCH,LAG,NETWORKID,LOCATIONCODE,LOCATIONTYPE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER,FLAGCODE,PROCESSCODE,PROCESSSERNO
D,1114171940,2020-36-04,5466,Z631ZBI0,P631BC00,FS,,2,,631,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171941,2020-36-04,5466,P631BC00,P631BP00,FS,,1,,631,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171942,2020-36-04,5466,Z631ZBR0,P631BP01,FS,,1,,631,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171943,2020-36-04,5466,Z632ZBI0,P632BC00,FS,,5,,632,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171944,2020-36-04,5466,P632BC00,P632BP00,FS,,1,,632,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171945,2020-36-04,5466,Z632ZBR0,P632BP01,FS,,1,,632,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171946,2020-36-04,5466,Z633ZBI0,P633BC00,FS,,1,,633,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171947,2020-36-04,5466,P633BC00,P633BP00,FS,,1,,633,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171948,2020-36-04,5466,Z633ZBR0,P633BP01,FS,,1,,633,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171949,2020-36-04,5466,Z634ZBI0,P634BC00,FS,,4,,634,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171950,2020-36-04,5466,P634BC00,P634BP00,FS,,1,,634,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171951,2020-36-04,5466,Z634ZBR0,P634BP01,FS,,1,,634,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171952,2020-36-04,5466,Z635ZBI0,P635BC00,FS,,1,,635,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171953,2020-36-04,5466,P635BC00,P635BP00,FS,,1,,635,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171954,2020-36-04,5466,Z635ZBR0,P635BP01,FS,,1,,635,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171955,2020-36-04,5466,Z636ZBI0,P636BC00,FS,,4,,636,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171956,2020-36-04,5466,P636BC00,P636BP00,FS,,1,,636,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171957,2020-36-04,5466,Z636ZBR0,P636BP01,FS,,1,,636,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171958,2020-36-04,5466,Z637ZBI0,P637BC00,FS,,4,,637,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171959,2020-36-04,5466,P637BC00,P637BP00,FS,,1,,637,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171960,2020-36-04,5466,Z637ZBR0,P637BP01,FS,,1,,637,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171961,2020-36-04,5466,Z638ZBI0,P638BC00,FS,,12,,638,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171962,2020-36-04,5466,P638BC00,P638BP00,FS,,1,,638,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171963,2020-36-04,5466,Z638ZBR0,P638BP01,FS,,1,,638,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171964,2020-36-04,5466,Z639ZBI0,P639BC00,FS,,4,,639,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171965,2020-36-04,5466,P639BC00,P639BP00,FS,,1,,639,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171966,2020-36-04,5466,Z639ZBR0,P639BP01,FS,,1,,639,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114318362,2020-36-04,5466,W63AOP00,P63APP00,FS,,1,,63A,P,2020-04-21,1008003,,,,,
D,1114318310,2020-36-04,5466,W63COP00,P63CPP00,FS,,1,,63C,P,2020-04-21,1008003,,,,,
D,1114318241,2020-36-04,5466,W63DOP00,P63DPP00,FS,,0,,63D,P,2020-04-21,1008003,,,,,
D,1114318574,2020-36-04,5466,W63EOP00,P63EPP00,FS,,1,,63E,P,2020-04-21,1008003,,,,,
D,1114318347,2020-36-04,5466,W63FOP00,P63FPP00,FS,,1,,63F,P,2020-04-21,1008003,,,,,
D,1114318614,2020-36-04,5466,W63GOP00,P63GPP00,FS,,1,,63G,P,2020-04-21,1008003,,,,,
D,1114318101,2020-36-04,5466,W63HOP00,P63HPP00,FS,,1,,63H,P,2020-04-21,1008003,,,,,
D,1114171974,2020-36-04,5466,Z641ZBI0,P641BC00,FS,,3,,641,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171975,2020-36-04,5466,P641BC00,P641BP00,FS,,1,,641,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171976,2020-36-04,5466,Z641ZBR0,P641BP01,FS,,1,,641,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171977,2020-36-04,5466,Z642ZBI0,P642BC00,FS,,3,,642,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171978,2020-36-04,5466,P642BC00,P642BP00,FS,,1,,642,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171979,2020-36-04,5466,Z642ZBR0,P642BP01,FS,,1,,642,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171980,2020-36-04,5466,Z643ZBI0,P643BC00,FS,,1,,643,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171981,2020-36-04,5466,P643BC00,P643BP00,FS,,1,,643,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171982,2020-36-04,5466,Z643ZBR0,P643BP01,FS,,1,,643,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171983,2020-36-04,5466,Z644ZBI0,P644BC00,FS,,1,,644,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171984,2020-36-04,5466,P644BC00,P644BP00,FS,,1,,644,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171985,2020-36-04,5466,Z644ZBR0,P644BP01,FS,,1,,644,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171986,2020-36-04,5466,Z651ZBI0,P651BC00,FS,,3,,651,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171987,2020-36-04,5466,P651BC00,P651BP00,FS,,1,,651,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171988,2020-36-04,5466,Z651ZBR0,P651BP01,FS,,1,,651,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171989,2020-36-04,5466,Z652ZBI0,P652BC00,FS,,5,,652,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171990,2020-36-04,5466,P652BC00,P652BP00,FS,,1,,652,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171991,2020-36-04,5466,Z652ZBR0,P652BP01,FS,,1,,652,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171992,2020-36-04,5466,Z653ZBI0,P653BC00,FS,,1,,653,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171993,2020-36-04,5466,P653BC00,P653BP00,FS,,1,,653,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171994,2020-36-04,5466,Z653ZBR0,P653BP01,FS,,1,,653,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171995,2020-36-04,5466,Z654ZBI0,P654BC00,FS,,1,,654,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171996,2020-36-04,5466,P654BC00,P654BP00,FS,,1,,654,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171997,2020-36-04,5466,Z654ZBR0,P654BP01,FS,,1,,654,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114171998,2020-36-04,5466,Z661ZBI0,P661BC00,FS,,1,,661,B,2020-04-20,1007589,2020-04-30,1007081,,,
D,1114171999,2020-36-04,5466,P661BC00,P661BP00,FS,,1,,661,B,2020-04-20,1007589,2020-04-30,1007589,,,
D,1114172000,2020-36-04,5466,Z661ZBR0,P661BP01,FS,,1,,661,B,2020-04-20,1007589,2020-04-30,1007589,,,
