PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,LOCATIONCODE,LAG,LOCATIONTYPE,RELATIONTYPE
5466,E50AP000,W50AOP00,50A,0,P,SS
5466,E50BP000,W50BOP00,50B,0,P,SS
5466,E50CP000,W50COP00,50C,0,P,SS
5466,E50DDS00,E50DDG00,50D,-3,E,FS
5466,E50EP000,W50EOP00,50E,0,P,SS
5466,E50FP000,W50FOP00,50F,0,P,SS
5466,E50GP000,W50GOP00,50G,0,P,SS
5466,E50HP000,W50HOP00,50H,0,P,SS
5466,E50JP000,W50JOP00,50J,0,P,SS
5466,E50KP000,W50KOP00,50K,0,P,SS
5466,E50LP000,W50LOP00,50L,0,P,SS
5466,E50MP000,W50MOP00,50M,0,P,SS
5466,E50NP000,W50NOP00,50N,0,P,SS
5466,S521A000,W521GA00,521,-4,B,FS
5466,S521A000,W521GC00,521,4,B,SS
5466,S522A000,W522GA00,522,-1,B,FS
5466,S522A000,W522GC00,522,4,B,SS
5466,S523A000,W523GA00,523,-1,B,FS
5466,S523A000,W523GC00,523,4,B,SS
5466,S524A000,W524GA00,524,-1,B,FS
5466,S524A000,W524GC00,524,4,B,SS
5466,S525A000,W525GA00,525,-1,B,FS
5466,S525A000,W525GC00,525,4,B,SS
5466,S526A000,W526GA00,526,-1,B,FS
5466,S526A000,W526GC00,526,4,B,SS
5466,S527A000,W527GA00,527,-1,B,FS
5466,S527A000,W527GC00,527,4,B,SS
5466,S528A000,W528GA00,528,-4,B,FS
5466,S528A000,W528GC00,528,4,B,SS
5466,S529A000,W529GA00,529,-1,B,FS
5466,S529A000,W529GC00,529,4,B,SS
5466,S531A000,W531GA00,531,-4,B,FS
5466,S531A000,W531GC00,531,4,B,SS
5466,S532A000,W532GA00,532,-1,B,FS
5466,S532A000,W532GC00,532,4,B,SS
5466,S533A000,W533GA00,533,-1,B,FS
5466,S533A000,W533GC00,533,4,B,SS
5466,S534A000,W534GA00,534,-1,B,FS
5466,S534A000,W534GC00,534,4,B,SS
5466,S535A000,W535GA00,535,-1,B,FS
5466,S535A000,W535GC00,535,4,B,SS
5466,S536A000,W536GA00,536,-1,B,FS
5466,S536A000,W536GC00,536,4,B,SS
5466,S537A000,W537GA00,537,-1,B,FS
5466,S537A000,W537GC00,537,4,B,SS
5466,S538A000,W538GA00,538,-4,B,FS
5466,S538A000,W538GC00,538,4,B,SS
5466,S539A000,W539GA00,539,-1,B,FS
5466,S539A000,W539GC00,539,4,B,SS
5466,S541A000,W541GA00,541,-1,B,FS
5466,S541A000,W541GC00,541,4,B,SS
5466,S542A000,W542GA00,542,-4,B,FS
5466,S542A000,W542GC00,542,4,B,SS
5466,S543A000,W543GA00,543,-4,B,FS
5466,S543A000,W543GC00,543,4,B,SS
5466,S544A000,W544GA00,544,-1,B,FS
5466,S544A000,W544GC00,544,4,B,SS
5466,S551A000,W551GA00,551,-1,B,FS
5466,S551A000,W551GC00,551,4,B,SS
5466,S552A000,W552GA00,552,-4,B,FS
5466,S552A000,W552GC00,552,4,B,SS
5466,S553A000,W553GA00,553,-4,B,FS
5466,S553A000,W553GC00,553,4,B,SS
5466,S554A000,W554GA00,554,-1,B,FS
5466,S554A000,W554GC00,554,4,B,SS
5466,S561A000,W561GA00,561,1,B,FS
5466,S561A000,W561GC00,561,4,B,SS
5466,S571A000,W571GA00,571,1,B,FS
5466,S571A000,W571GC00,571,4,B,SS
5466,S621A000,W621GA00,621,1,B,FS
5466,S621A000,W621GC00,621,4,B,SS
5466,S622A000,W622GA00,622,1,B,FS
5466,S622A000,W622GC00,622,4,B,SS
5466,S623A000,W623GA00,623,-4,B,FS
5466,S623A000,W623GC00,623,4,B,SS
5466,S624A000,W624GA00,624,-4,B,FS
5466,S624A000,W624GC00,624,4,B,SS
5466,S625A000,W625GA00,625,-4,B,FS
5466,S625A000,W625GC00,625,4,B,SS
5466,S626A000,W626GA00,626,-1,B,FS
5466,S626A000,W626GC00,626,4,B,SS
5466,S627A000,W627GA00,627,-1,B,FS
5466,S627A000,W627GC00,627,4,B,SS
5466,S628A000,W628GA00,628,-1,B,FS
5466,S628A000,W628GC00,628,4,B,SS
5466,S629A000,W629GA00,629,-4,B,FS
5466,S629A000,W629GC00,629,4,B,SS
5466,E62AP000,W62AOP00,62A,0,P,SS
