PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,DESCRIPTION,PLANDURATION,물량,단위, 작업장
5466,C801CC00,801,B,801 BLK J Stage 절단,27,207.7,TON,가공-상선-절단
5466,P653BC00,653,B,653 BLK B Stage 선행 도장 전처리,1,5134.12,M2,선행도장-상선-전처리
5466,P109BP00,109,B,109 BLK B Stage 선행 도장,6,2615.7,M2,선행도장-상선-도장
5466,P942BC00,942,B,942 BLK B Stage 선행 도장 전처리,1,0,0,사외-선행도장 전처리-신한기계-선실용
5466,S537A000,537,B,537 BLK B Stage 조립,15,2317.2,JL,조립3-상선-NPS
5466,Z537ZBI0,537,B,537 BLK B Stage 발판 설치,1,42.7,매,발판지원-상선 일반발판
5466,C521CP00,521,B,521 BLK J Stage 절단 전처리,13,0,TON,가공-상선-전처리
5466,S951A000,951,B,951 BLK B Stage 조립,15,0,0,사외-조립-신한기계-선실용
5466,P132BP00,132,B,132 BLK B Stage 선행 도장,8,2728.6,M²,사외-선행도장-삼강에스앤씨
5466,P625BP00,625,B,625 BLK B Stage 선행 도장,7,6829.1,M2,선행도장-상선-도장
5466,C222CP00,222,B,222 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,C442CP00,442,B,442 BLK J Stage 절단 전처리,8,0,TON,가공-상선-전처리
5466,W532GA00,532,B,532 BLK A Stage 대조 의장 ('A'),4,316.5,KG,조립의장-상선관철
5466,W105GC00,105,B,105 BLK C Stage 중조 의장 ('C'),12,93.246,KG,선행의장-상선 기장(POS)
5466,P145BP00,145,B,145 BLK B Stage 선행 도장,7,1417.6,M²,사외-선행도장-(주)퍼쉬 (안정공장)
5466,P192BP00,192,B,192 BLK B Stage 선행 도장,8,6430.4,M2,선행도장-상선-도장
5466,W622GC00,622,B,622 BLK C Stage 중조 의장 ('C'),11,2282.4,KG,선행의장-상선 기장(POS)
5466,P132BC00,132,B,132 BLK B Stage 선행 도장 전처리,1,2078.1,M²,사외-선행도장 전처리-삼강에스앤씨
5466,C131CC00,131,B,131 BLK J Stage 절단,30,190.8,TON,가공-상선-절단
5466,P206BC00,206,B,206 BLK B Stage 선행 도장 전처리,1,6544.44,M2,선행도장-상선-전처리
5466,P624BP01,624,B,624 BLK B Stage 선행 보수 도장,3,1,LOT,선행도장-상선-도장
5466,W627GC00,627,B,627 BLK C Stage 중조 의장 ('C'),7,1800.6,KG,조립의장-상선관철
5466,W941GB00,941,B,941 BLK B Stage 의장 ('B'),16,0,0,사외-선행의장-관철-신한기계-선실용
5466,W526GC00,526,B,526 BLK C Stage 중조 의장 ('C'),7,283.8,KG,조립의장-상선관철
5466,W206GA00,206,B,206 BLK A Stage 대조 의장 ('A'),16,1386.1,KG,조립의장-상선관철
5466,W142GC00,142,B,142 BLK C Stage 중조 의장 ('C'),20,6055.515,KG,선행의장-상선 기장(POS)
5466,Z235ZBI0,235,B,235 BLK B Stage 발판 설치,2,297.7,매,발판지원-상선 일반발판
5466,C542CC00,542,B,542 BLK J Stage 절단,12,219.6,TON,가공-상선-절단
5466,W234GA00,234,B,234 BLK A Stage 대조 의장 ('A'),6,281.1,KG,조립의장-상선관철
5466,W833GA00,833,B,833 BLK A Stage 대조 의장 ('A'),8,149.4,KG,조립의장-상선관철
5466,P801BP00,801,B,801 BLK B Stage 선행 도장,7,5024.3,M2,선행도장-상선-도장
5466,Z144ZBR0,144,B,144 BLK B Stage 발판 해체,2,338,매,발판지원-상선 일반발판
5466,C629CP00,629,B,629 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,C811CP00,811,B,811 BLK J Stage 절단 전처리,7,0,TON,가공-상선-전처리
5466,C823CP00,823,B,823 BLK J Stage 절단 전처리,19,0,TON,가공-상선-전처리
5466,C744CP00,744,B,744 BLK J Stage 절단 전처리,15,0,TON,가공-상선-전처리
5466,P628BP00,628,B,628 BLK B Stage 선행 도장,7,6009.9,M2,선행도장-상선-도장
5466,Z527ZBR0,527,B,527 BLK B Stage 발판 해체,1,42.7,매,발판지원-상선 일반발판
5466,P527BP00,527,B,527 BLK B Stage 선행 도장,6,4123,M2,선행도장-상선-도장
5466,W527GA00,527,B,527 BLK A Stage 대조 의장 ('A'),4,288.2,KG,조립의장-상선관철
5466,W161GB00,161,B,161 BLK B Stage 의장 ('B'),6,10561.217,KG,선행의장-상선 기장(POS)
5466,P525BP00,525,B,525 BLK B Stage 선행 도장,6,4415.5,M2,선행도장-상선-도장
5466,W132GS00,132,B,132 BLK S Stage 소조 의장 ('S'),21,4403.283,KG,사외-선행의장 기장-삼강에스앤씨
5466,Z636ZBR0,636,B,636 BLK B Stage 발판 해체,1,321.2,매,발판지원-상선 일반발판
5466,W624GC00,624,B,624 BLK C Stage 중조 의장 ('C'),7,1894.8,KG,조립의장-상선관철
5466,P237BP00,237,B,237 BLK B Stage 선행 도장,7,7629.4,M2,선행도장-상선-도장
5466,W183GC00,183,B,183 BLK C Stage 중조 의장 ('C'),20,1,LOT,사외-선행의장-기장-신한기계
5466,W733GA00,733,B,733 BLK A Stage 대조 의장 ('A'),9,42.9,KG,조립의장-상선관철
5466,C193CP00,193,B,193 BLK J Stage 절단 전처리,19,0,TON,가공-상선-전처리
5466,W221GC00,221,B,221 BLK C Stage 중조 의장 ('C'),7,10201,KG,조립의장-상선관철
5466,C436CP00,436,B,436 BLK J Stage 절단 전처리,8,0,TON,가공-상선-전처리
5466,S638A000,638,B,638 BLK B Stage 조립,15,3042,JL,조립1-PBS
5466,W638GC00,638,B,638 BLK C Stage 중조 의장 ('C'),7,934.8,KG,조립의장-상선관철
5466,P638BC00,638,B,638 BLK B Stage 선행 도장 전처리,1,4593.56,M2,선행도장-상선-전처리
5466,S235A000,235,B,235 BLK B Stage 조립,21,3153.8,JL,조립1-PBS
5466,S802A000,802,B,802 BLK B Stage 조립,15,861.9,JL,조립3-상선-NPS
